"quantidade_doadores","total_receita","media_receita","recursos_de_outros_candidatos.comites","recursos_de_partidos","recursos_de_pessoas_físicas","recursos_de_pessoas_juridicas","recursos_proprios","votos","quantidade_despesas","quantidade_fornecedores","media_despesa","sexo"
7,17951.3,1631.93636363636,1150,15000,1200,28086,601.3,1472,37,25,485.17027027027,2
4,46810,6687.14285714286,26480,6325.485,20330,28086,5019.35,2238,37,27,1265.12567567568,2
29,350755.45,9230.40657894737,17702.43,6325.485,128420,204633.02,5019.35,67324,105,74,3340.35295238095,1
4,5045,1261.25,205,4000,240,28086,600,155,4,4,1261.25,2
2,3722.5,465.3125,4217.5,6325.485,4550,3722.5,5019.35,444,8,2,465.3125,2
3,1440,480,4217.5,840,600,28086,5019.35,548,3,3,480,1
2,2633.5,292.611111111111,1265.5,6325.485,4550,1368,5019.35,1683,9,2,292.611111111111,2
25,66697,1961.67647058824,4217.5,625,65772,300,5019.35,10478,61,27,1093.39344262295,1
22,420375,9553.97727272727,4217.5,6325.485,165125,89750,165500,16811,260,149,1616.48030769231,2
1,5540,1385,4217.5,5540,4550,28086,5019.35,254,4,1,1385,1
20,395867.56,14661.7614814815,250000,52287.5,28490,28086,65000,60780,333,194,1188.8487987988,2
72,1402598.9,8711.79440993789,38221.9,1101237,72640,100500,90000,135382,872,145,1608.15532110092,2
1,890.36,148.393333333333,4217.5,890.36,4550,28086,5019.35,344,6,1,148.393333333333,2
6,217904.9,16761.9153846154,4444.9,2e+05,6000,28086,7460,14553,73,39,2984.8804109589,2
5,9260,1157.5,290,6325.485,8970,28086,5019.35,1652,22,13,420.909090909091,2
7,47000,5875,25000,6325.485,8000,2000,12000,2354,29,16,1551.03103448276,2
12,39519.17,2634.61133333333,4462.5,6325.485,33956.67,28086,1100,9993,77,19,513.235974025974,2
3,1750,437.5,1150,6325.485,600,28086,5019.35,459,4,3,437.5,1
1,1756.64,585.546666666667,1756.64,6325.485,4550,28086,5019.35,707,3,1,585.546666666667,2
221,1414044,5356.22727272727,489801,6325.485,447236,420907,41500,82204,1032,624,1360.54820736434,2
18,27759.78,578.32875,13829.78,6325.485,11930,2000,5019.35,925,60,14,459.2055,1
2,400,200,4217.5,6325.485,400,28086,5019.35,83,2,2,200,1
2,12400,2480,6400,6000,4550,28086,5019.35,3461,5,2,2480,2
8,3051.98,203.465333333333,648.98,6325.485,1150,28086,1253,321,15,10,203.465333333333,2
6,48639.94,3741.53384615385,14893.84,2246.1,4550,30000,1500,940,41,19,1149.75463414634,2
2,2624,874.666666666667,4217.5,6325.485,724,28086,1900,457,8,4,328,2
2,6050,1512.5,1050,5000,4550,28086,5019.35,369,12,7,504.166666666667,1
2,2440.08,187.698461538462,1048,6325.485,4550,28086,1392.08,783,14,3,174.291428571429,2
3,4300,1433.33333333333,4217.5,4000,300,28086,5019.35,464,3,3,1433.33333333333,2
3,1825,456.25,1425,6325.485,400,28086,5019.35,111,4,3,456.25,1
5,29916,2493,14996,6325.485,10900,3000,1020,1485,19,8,1574.50894736842,1
2,6820,974.285714285714,4217.5,6325.485,250,28086,6570,1330,15,5,424.26,2
3,1122.43,224.486,922.43,6325.485,100,28086,100,745,5,3,224.486,2
12,139750,8734.375,4217.5,6325.485,70350,69400,5019.35,19392,144,44,970.275486111111,2
4,410557.51,82111.502,557.51,2e+05,4550,2e+05,10000,46649,147,70,2792.37333333333,2
49,871523.3,10894.04125,8730.8,110000,319950,407842.5,25000,49910,879,343,991.494072810011,2
5,6836,976.571428571429,1286,6325.485,2100,28086,3450,463,8,6,853.7125,2
40,2674841.47,24998.518411215,32701,2422640.47,42000,53000,124500,58117,1674,700,1597.83995818399,2
1,3667.5,733.5,4217.5,3667.5,4550,28086,5019.35,639,5,1,733.5,2
